Company/Brand,HeadQuarter,Sector,Amount($),Funding Year
Avenues Payments India Pvt. Ltd.,Maharashtra,N/A,1300000,2018
Qbera,Karnataka,Banking and Financial Services,2044000,2018
Urban Ladder,Karnataka,E-Commerce and Retail,5600000,2018
Planet11 Ecommerce Solutions India (Avenue11),Karnataka,N/A,3796000,2018
Dailyninja,Karnataka,Information Technology (IT),0,2018
Iba Halal Care,Gujarat,N/A,2190000,2018
Knocksense,Uttar Pradesh,Information Technology (IT),0,2018
Togedr,Haryana,N/A,0,2018
Parkwheels,Haryana,Manufacturing,175200,2018
Sharechat,Karnataka,Information Technology (IT),99230000,2018
Cyclops Medtech,Karnataka,Healthcare and Fitness,1000000,2018
Livspace,Karnataka,E-Commerce and Retail,70000000,2018
Newsbytes,Haryana,Information Technology (IT),1000000,2018
Leena Ai,Haryana,Information Technology (IT),2000000,2018
Max Healthcare,Delhi,Healthcare and Fitness,0,2018
Gobolt,Delhi,Transportation and Tourism,5840000,2018
Gogaga,Karnataka,Social Development,40000,2018
Mate Labs,Karnataka,Information Technology (IT),550000,2018
Furlenco,Karnataka,E-Commerce and Retail,0,2018
Ola,Karnataka,Information Technology (IT),50000000,2018
Docprime,Haryana,Healthcare and Fitness,50000000,2018
Clp India Pvt. Ltd.,Maharashtra,Energy,365000000,2018
Xplorabox,Uttar Pradesh,E-Commerce and Retail,0,2018
Myra,Karnataka,Information Technology (IT),127750,2018
Vokal,Karnataka,Information Technology (IT),1500000,2018
Kissht,Maharashtra,Banking and Financial Services,30000000,2018
Upwards Fintech,Maharashtra,Banking and Financial Services,5000000,2018
Bon(Bonfleet Solutions),Maharashtra,Banking and Financial Services,1138800,2018
Mamaearth,Haryana,E-Commerce and Retail,4000000,2018
Babychakra,Maharashtra,Healthcare and Fitness,0,2018
Belstar Investment And Finance Private Limited,Tamil Nadu,Banking and Financial Services,28000000,2018
Naaptol,Maharashtra,E-Commerce and Retail,15000000,2018
Moonshine Meadery,Maharashtra,Agriculture and Food Production,0,2018
Verzeo,Karnataka,Education,5000000,2018
Haazri,Maharashtra,Agriculture and Food Production,182500,2018
Connect India,Delhi,Transportation and Tourism,0,2018
Flyrobe,Maharashtra,Fashion and Beauty,3854400,2018
Scholify,Karnataka,N/A,0,2018
Dream11,Maharashtra,Healthcare and Fitness,100000000,2018
Srjna,Rajasthan,Education,0,2018
Nykaa,Maharashtra,Fashion and Beauty,16498000,2018
Chaayos,Delhi,Agriculture and Food Production,11826000,2018
Heelium,Maharashtra,Healthcare and Fitness,0,2018
Lt Foods,Delhi,Agriculture and Food Production,20440000,2018
Multibashi,Karnataka,Education,146000,2018
Cleardekho,Uttar Pradesh,Fashion and Beauty,0,2018
Dailyhunt,Karnataka,Information Technology (IT),6000000,2018
Slicepay,Karnataka,Banking and Financial Services,14900000,2018
Udaan,Karnataka,E-Commerce and Retail,225000000,2018
Happyeasygo Group,Haryana,Transportation and Tourism,0,2018
Mombay,Maharashtra,Agriculture and Food Production,7500,2018
Droni Tech,Maharashtra,Information Technology (IT),511000,2018
Netmeds,Tamil Nadu,Information Technology (IT),35000000,2018
Bombay Shaving,N/A,E-Commerce and Retail,6300000,2019
Ruangguru,Maharashtra,Education,150000000,2019
Eduisfun,Maharashtra,Education,28000000,2019
HomeLane,Tamil Nadu,"Career, Special Duties and Personal Development",30000000,2019
Nu Genes,Telangana,Information Technology (IT),6000000,2019
FlytBase,Maharashtra,Information Technology (IT),0,2019
Finly,Karnataka,Information Technology (IT),0,2019
Kratikal,Uttar Pradesh,Information Technology (IT),1000000,2019
Quantiphi,N/A,Information Technology (IT),20000000,2019
Lenskart,Delhi,E-Commerce and Retail,275000000,2019
Cub McPaws,Maharashtra,E-Commerce and Retail,0,2019
Appnomic,Karnataka,Information Technology (IT),22000000,2019
Kaleidofin,Tamil Nadu,Banking and Financial Services,5000000,2019
JobSquare,Gujarat,"Career, Special Duties and Personal Development",140500,2019
Open Secret,N/A,Agriculture and Food Production,0,2019
LivFin,Delhi,Banking and Financial Services,5000000,2019
Byju's,N/A,Education,540000000,2019
Zest Money,Karnataka,Banking and Financial Services,15000000,2019
Witblox,N/A,Education,182700,2019
Azah Personal Care Pvt. Ltd.,Haryana,Healthcare and Fitness,0,2019
SalaryFits,N/A,Banking and Financial Services,5000000,2019
Pristyn Care,N/A,Healthcare and Fitness,12000000,2019
Springboard,N/A,Education,11000000,2019
DROR Labs Pvt. Ltd,Delhi,Information Technology (IT),0,2019
Medlife,Karnataka,Healthcare and Fitness,15500000,2019
Seekify,Delhi,Information Technology (IT),1500000,2019
Toffee Insurance,Haryana,Banking and Financial Services,5500000,2019
Fireflies.ai,N/A,Information Technology (IT),5000000,2019
HungerBox,Karnataka,Agriculture and Food Production,12000000,2019
Bijak,N/A,Information Technology (IT),2500000,2019
Licious,Karnataka,Agriculture and Food Production,30000000,2019
truMe,N/A,Information Technology (IT),140000,2019
Pumpkart,Chandigarh,E-Commerce and Retail,0,2019
Asteria Aerospace,Karnataka,Information Technology (IT),230000000,2019
Rivigo,N/A,Transportation and Tourism,20000000,2019
HappyEasyGo,Haryana,Transportation and Tourism,49400000,2019
Zetwerk,Karnataka,Manufacturing,32000000,2019
Observe.AI,Karnataka,Information Technology (IT),26000000,2019
Freshokartz,Rajasthan,E-Commerce and Retail,150000,2019
Lil’ Goodness and sCool meal,Karnataka,Agriculture and Food Production,400000,2019
Trell,Karnataka,Media and Entertainment,2000000,2019
VMate,N/A,N/A,100000000,2019
Bombay Shirt Company,Maharashtra,E-Commerce and Retail,8000000,2019
Slintel,N/A,Information Technology (IT),1500000,2019
MyGameMate,Karnataka,Healthcare and Fitness,100000,2019
Afinoz,Uttar Pradesh,Banking and Financial Services,0,2019
Rein Games,Uttar Pradesh,Information Technology (IT),50000000,2019
Ecozen,Maharashtra,Information Technology (IT),6000000,2019
Box8,Maharashtra,Agriculture and Food Production,120000000,2019
Awign Enterprises,Karnataka,N/A,4000000,2019
Purplle,Maharashtra,Fashion and Beauty,30000000,2019
Freightwalla,Maharashtra,E-Commerce and Retail,4000000,2019
TapChief,Karnataka,N/A,1500000,2019
eJOHRI,Maharashtra,Fashion and Beauty,1000000,2019
Ninjacart,N/A,E-Commerce and Retail,0,2019
Binca Games,Maharashtra,Media and Entertainment,0,2019
KredX,Karnataka,N/A,26000000,2019
m.Paani,Maharashtra,N/A,5500000,2019
Origo,Haryana,Information Technology (IT),6800000,2019
WishADish,Delhi,Agriculture and Food Production,6000000,2019
Ecom Express,Haryana,Transportation and Tourism,36000000,2019
Stanza Living,Delhi,Real Estate,5700000,2019
PiBeam,Tamil Nadu,Manufacturing,50000000,2019
Euler Motors,Delhi,Manufacturing,2000000,2019
Moms Co,Delhi,E-Commerce and Retail,5000000,2019
Cubical Labs,N/A,Information Technology (IT),0,2019
Lawyered,Delhi,"Career, Special Duties and Personal Development",100000,2019
Cuemath,Karnataka,Education,5500000,2019
Licious,Karnataka,Agriculture and Food Production,25000000,2019
Nivesh.com,Uttar Pradesh,Banking and Financial Services,600000,2019
Zebu,N/A,Information Technology (IT),4000000,2019
Smart Institute,Gujarat,Education,1500000,2019
CarDekho,Rajasthan,Manufacturing,70000000,2019
Shadowfax,Karnataka,Transportation and Tourism,60000000,2019
Credr,Maharashtra,Manufacturing,6000000,2019
Sportido,Uttar Pradesh,Healthcare and Fitness,0,2019
Phable,N/A,Healthcare and Fitness,220000,2019
Sarva,Tamil Nadu,Healthcare and Fitness,2800000,2019
IndyFint,Karnataka,Banking and Financial Services,2100000,2019
Zolostays,N/A,Real Estate,7000000,2019
Ola,Karnataka,Transportation and Tourism,311000000,2019
Zoomcar,Karnataka,Transportation and Tourism,4800000,2019
Kratikal,Uttar Pradesh,Information Technology (IT),1000000,2019
Froogal,Telangana,E-Commerce and Retail,1000000,2019
Infra.Market,Maharashtra,Information Technology (IT),20000000,2019
Oyo,Haryana,Events and Hospitality,693000000,2019
GoMechanic,Delhi,Manufacturing,5000000,2019
Spinny,Delhi,Manufacturing,50000000,2019
Ess Kay Fincorp,Rajasthan,Banking and Financial Services,33000000,2019
Aqgromalin,Tamil Nadu,Information Technology (IT),200000,2020
Krayonnz,Karnataka,Education,100000,2020
PadCare Labs,Maharashtra,Healthcare and Fitness,0,2020
NCOME,Delhi,E-Commerce and Retail,400000,2020
Gramophone,Madhya Pradesh,Information Technology (IT),340000,2020
qZense,Karnataka,Information Technology (IT),600000,2020
MyClassboard,Telangana,Education,600000,2020
Metvy,Haryana,Media and Entertainment,0,2020
Rupeek,Karnataka,Banking and Financial Services,45000000,2020
Gig India,Maharashtra,Banking and Financial Services,1000000,2020
Slurrp Farm,Haryana,Agriculture and Food Production,2000000,2020
Medfin,Karnataka,Healthcare and Fitness,0,2020
MasterG,Delhi,Fashion and Beauty,0,2020
Brila 91,Delhi,Agriculture and Food Production,1200000,2020
FoodyBuddy,Karnataka,Agriculture and Food Production,600000,2020
Zomato,Haryana,Agriculture and Food Production,660000000,2020
OurEye.ai,Karnataka,Banking and Financial Services,120000,2020
Shiprocket,Delhi,E-Commerce and Retail,7500000,2020
Pine Labs,Uttar Pradesh,Banking and Financial Services,0,2020
Moneyboxx Finance,Delhi,Banking and Financial Services,1000000,2020
EWar,Karnataka,Media and Entertainment,0,2020
SucSEED Indovation,Telangana,Banking and Financial Services,5000000,2020
TaxBuddy.com,Maharashtra,Banking and Financial Services,1000000,2020
Awign Enterprises,Karnataka,"Career, Special Duties and Personal Development",500000,2020
Circle of Angels,Haryana,Banking and Financial Services,3000000,2020
CoinDCX,Maharashtra,Banking and Financial Services,10000000,2020
Glance,Karnataka,Information Technology (IT),145000000,2020
VerSe Innovation,Karnataka,Information Technology (IT),100000000,2020
Voosh,Karnataka,Agriculture and Food Production,0,2020
Delhivery,Haryana,E-Commerce and Retail,0,2020
Arya,Uttar Pradesh,Information Technology (IT),21000000,2020
Pickrr,Delhi,Transportation and Tourism,4000000,2020
PhonePe,Maharashtra,Banking and Financial Services,20000000,2020
Countingwell,Karnataka,Education,1000000,2020
Callify.ai,Maharashtra,Information Technology (IT),560000,2020
Hudle,Delhi,Healthcare and Fitness,0,2020
Cover it Up,Tamil Nadu,E-Commerce and Retail,400000,2020
BiteSpeed,Haryana,E-Commerce and Retail,275000,2020
WakeFit,Karnataka,E-Commerce and Retail,20000000,2020
Sreyas Holistic Remedies,Telangana,Healthcare and Fitness,1000000,2020
Fleeca India,Rajasthan,Manufacturing,0,2020
M1xchange,Haryana,Banking and Financial Services,4500000,2020
Exotel,Karnataka,Information Technology (IT),5000000,2020
PagarBook,Karnataka,Information Technology (IT),15000000,2020
PointOne Capital,Karnataka,Banking and Financial Services,0,2020
Ayana,Karnataka,Energy,390000000,2020
Fisdom,Karnataka,Banking and Financial Services,7000000,2020
Tinker Coders,Uttar Pradesh,Education,0,2020
Infinite Uptime,Maharashtra,Information Technology (IT),5100000,2020
HappyLocate,Karnataka,Information Technology (IT),500000,2020
PhonePe,Delhi,Banking and Financial Services,700000000,2020
Loop Health,Maharashtra,Healthcare and Fitness,2300000,2020
NeoDocs,Maharashtra,Healthcare and Fitness,0,2020
The ePlane,Tamil Nadu,Transportation and Tourism,0,2020
TagMango,Maharashtra,E-Commerce and Retail,700000,2020
The New Shop,Delhi,E-Commerce and Retail,500000,2020
MobiKwik,Haryana,Banking and Financial Services,7000000,2020
DebugsBunny,Maharashtra,Education,100000,2020
BHIVE Investech,Karnataka,"Career, Special Duties and Personal Development",1000000,2020
Rivigo,Haryana,Transportation and Tourism,19000000,2020
ZipLoan,Delhi,Banking and Financial Services,3000000,2020
Swipez,Maharashtra,Banking and Financial Services,0,2020
Humus,Karnataka,Information Technology (IT),0,2020
Artivatic.ai,Karnataka,Information Technology (IT),0,2020
Prescinto,Gujarat,Energy,0,2020
Toppeq,Maharashtra,Information Technology (IT),0,2020
Bolo Indya,Haryana,Media and Entertainment,400000,2020
Bombay Play,Karnataka,Media and Entertainment,1000000,2020
FreshToHome,Karnataka,E-Commerce and Retail,0,2020
KIKO TV,Maharashtra,Media and Entertainment,0,2020
Atomberg Technologies,Maharashtra,Manufacturing,9000000,2020
DealShare,Rajasthan,E-Commerce and Retail,21000000,2020
Smallcase,Karnataka,Banking and Financial Services,0,2020
CueMath,Karnataka,Education,40000000,2020
Gamerji,Gujarat,Media and Entertainment,0,2020
5C Network,Karnataka,Healthcare and Fitness,1200000,2020
Ethereum Push Notification Service,Maharashtra,Blockchain,750000,2020
Mihup,West Bengal,Media and Entertainment,1500000,2020
RuralBasket,Tamil Nadu,E-Commerce and Retail,500000,2020
WayCool Foods,Tamil Nadu,Information Technology (IT),7800000,2020
Infra.Market,Maharashtra,Real Estate,20000000,2020
Info Edge Venture,Uttar Pradesh,Banking and Financial Services,50000000,2020
Clovia,Uttar Pradesh,E-Commerce and Retail,4000000,2020
Codingal,Karnataka,Education,560000,2020
CRED,Karnataka,Banking and Financial Services,80000000,2020
Vistaar Finance,Karnataka,Banking and Financial Services,30000000,2020
Let's Dive,Karnataka,Information Technology (IT),1700000,2020
Habitat,N/A,Education,600000,2020
SAWO Labs,Maharashtra,Information Technology (IT),600000,2020
Signzy,Karnataka,Information Technology (IT),3000000,2020
KopyKitab,Karnataka,Education,0,2020
Kyt,Singapore,Education,2500000,2020
Raskik,N/A,Agriculture and Food Production,1000000,2020
GetWork,Haryana,"Career, Special Duties and Personal Development",40000,2020
Mobile Premier League (MPL),Karnataka,Media and Entertainment,500000,2020
Pravasirojgar,N/A,Information Technology (IT),33000000,2020
Omatra Hotels,West Bengal,Events and Hospitality,0,2020
Awign,Karnataka,Information Technology (IT),0,2020
NewsReach,Gujarat,Media and Entertainment,1500000,2020
Cashfree,Karnataka,Banking and Financial Services,35000000,2020
Credgenics,Delhi,Banking and Financial Services,3000000,2020
GeoIQ,Karnataka,Information Technology (IT),300000,2020
Country Delight,Haryana,Agriculture and Food Production,25000000,2020
Quintype,Karnataka,"Career, Special Duties and Personal Development",3500000,2020
CARS24,Haryana,E-Commerce and Retail,200000000,2020
Astrogate Labs,Karnataka,Information Technology (IT),0,2020
Power Gummies,Delhi,Healthcare and Fitness,0,2020
Cityflo,Maharashtra,Transportation and Tourism,7000000,2020
AlgoBulls,Maharashtra,E-Commerce and Retail,200000,2020
Credgenics,Haryana,Banking and Financial Services,3000000,2020
Inntot,Kerala,Information Technology (IT),0,2020
Ensuredit,Haryana,Banking and Financial Services,300000,2020
Shipsy,Haryana,Information Technology (IT),6000000,2020
ERPNext,Maharashtra,Information Technology (IT),1000000,2020
LightSpeedAI,Karnataka,Information Technology (IT),0,2020
Grip Invest,Haryana,Banking and Financial Services,0,2020
Unacademy,Karnataka,Education,0,2020
Yellow Classes,Haryana,Education,1300000,2020
Plum,Karnataka,Healthcare and Fitness,4100000,2020
STAGE,Madhya Pradesh,Media and Entertainment,1000000,2020
Nykaa,Maharashtra,Fashion and Beauty,0,2020
Kaagaz Scanner,N/A,Information Technology (IT),575000,2020
NIRA,Karnataka,Banking and Financial Services,1000000,2020
Prolixr,Haryana,Fashion and Beauty,0,2020
Byju's,Karnataka,Education,200000000,2020
DaMENSCH,Karnataka,E-Commerce and Retail,6000000,2020
Country Delight,Haryana,Agriculture and Food Production,25000000,2020
SignalX,Telangana,Information Technology (IT),800000,2020
Lancify,Karnataka,Education,300000,2020
Krimanshi,Rajasthan,Information Technology (IT),600000,2020
Instoried,Karnataka,Information Technology (IT),1000000,2020
PlayerzPot,Maharashtra,Media and Entertainment,3000000,2020
Instamojo,Karnataka,Banking and Financial Services,0,2020
Turtlemint,Maharashtra,Healthcare and Fitness,30000000,2020
Arata,Delhi,E-Commerce and Retail,1000000,2020
MPL,Karnataka,Media and Entertainment,5000000,2020
True Balance,Haryana,Banking and Financial Services,28000000,2020
Thrive,Maharashtra,Agriculture and Food Production,0,2020
Kitchens Centre,Delhi,"Career, Special Duties and Personal Development",0,2020
Prescribe,Tamil Nadu,Healthcare and Fitness,100000,2020
Nepra,Gujarat,Information Technology (IT),18000000,2020
inFeedo,Haryana,Information Technology (IT),3200000,2020
Shilpa Sciences,Karnataka,Healthcare and Fitness,0,2020
Arzooo,Karnataka,Information Technology (IT),0,2020
MindTickle,Maharashtra,Information Technology (IT),100000000,2020
Slice,Karnataka,Banking and Financial Services,5000000,2020
Rapawalk,Karnataka,E-Commerce and Retail,300000,2020
Oga Fit's,Karnataka,Healthcare and Fitness,0,2020
LAVAL,Karnataka,Fashion and Beauty,0,2020
Stride Ventures,Delhi,Banking and Financial Services,80000000,2020
BlackSoil,Maharashtra,Banking and Financial Services,10000000,2020
Biocon,Karnataka,Healthcare and Fitness,15000000,2020
Clientjoy,Gujarat,Information Technology (IT),800000,2020
Xpressbees,Maharashtra,E-Commerce and Retail,100000000,2020
GalaxyCard,Haryana,Banking and Financial Services,0,2020
Wellness Forever,Maharashtra,Healthcare and Fitness,100000000,2020
MoooFarm,Haryana,Information Technology (IT),500000,2020
BitClass,Karnataka,Information Technology (IT),2000000,2020
Gonuts,Maharashtra,Media and Entertainment,400000,2020
Uolo,Karnataka,Education,2000000,2020
Kirana King,Rajasthan,E-Commerce and Retail,900000,2020
Jade Forest,Delhi,Agriculture and Food Production,250000,2020
iKure,West Bengal,Healthcare and Fitness,0,2020
FrontRow,Karnataka,Education,3200000,2020
Reliance Retail,Maharashtra,E-Commerce and Retail,10000000,2020
TUBBR,Texas,Media and Entertainment,0,2020
Ather Energy,Karnataka,Manufacturing,35000000,2020
Routematic,Karnataka,Information Technology (IT),2000000,2020
LivFin,Delhi,Banking and Financial Services,4700000,2020
Universal Sportsbiz Pvt Ltd,Karnataka,Fashion and Beauty,0,2020
Lattu Kids,Maharashtra,Education,0,2020
Eggoz,Madhya Pradesh,Agriculture and Food Production,1500000,2020
Steradian Semiconductors,Karnataka,Information Technology (IT),0,2020
CHARGE+ZONE,Gujarat,Manufacturing,3000000,2020
Stones2milestones,Haryana,Education,2000000,2020
Udacity,California,Education,75000000,2020
AjnaLens,Maharashtra,Information Technology (IT),1000000,2020
Gully Network,Karnataka,E-Commerce and Retail,1200000,2020
TurboHire,Telangana,"Career, Special Duties and Personal Development",1000000,2020
Traya,Maharashtra,Healthcare and Fitness,0,2020
Charcoal Eats,Maharashtra,E-Commerce and Retail,2000000,2020
Mitron TV,Karnataka,Media and Entertainment,0,2020
Svami,Maharashtra,Agriculture and Food Production,800000,2020
Dhurnia,Haryana,Education,100000,2020
Expertrons,Maharashtra,Education,0,2020
Leena AI,New York,Information Technology (IT),8000000,2020
Bizlog,Karnataka,Transportation and Tourism,1000000,2020
Tamasha.live,Maharashtra,Media and Entertainment,300000,2020
Fedo,Karnataka,Information Technology (IT),1000000,2020
FabHotels,Haryana,Events and Hospitality,1000000,2020
Freshokartz,Rajasthan,Information Technology (IT),1000000,2020
FlexiLoans,Maharashtra,Banking and Financial Services,6000000,2020
Agrix,Bihar,Information Technology (IT),0,2020
BharatAgri,Maharashtra,Information Technology (IT),0,2020
FreshtoHome,Karnataka,E-Commerce and Retail,121000000,2020
Credable,Maharashtra,Banking and Financial Services,4500000,2020
Railofy,Maharashtra,Transportation and Tourism,5000000,2020
Finova Capital,Rajasthan,Banking and Financial Services,55000000,2020
Teachmint,Karnataka,Education,3500000,2020
Peel-Works,Maharashtra,E-Commerce and Retail,3000000,2020
Janani,Karnataka,Healthcare and Fitness,200000,2020
Credgenics,Haryana,Banking and Financial Services,3300000,2020
Finelistings,Delhi,Transportation and Tourism,0,2020
Wellversed,Delhi,Healthcare and Fitness,0,2020
Jumbotail,Karnataka,E-Commerce and Retail,11000000,2020
Winzo,Delhi,Media and Entertainment,2000000,2020
mCaffeine,Maharashtra,Fashion and Beauty,5000000,2020
Pocket FM,Karnataka,"Career, Special Duties and Personal Development",5000000,2020
Snackible,Maharashtra,Healthcare and Fitness,0,2020
FreshtoHome,Karnataka,E-Commerce and Retail,16000000,2020
Jumbotail,Karnataka,E-Commerce and Retail,11000000,2020
Nykaa,Maharashtra,E-Commerce and Retail,0,2020
TagZ Foods,Karnataka,Agriculture and Food Production,0,2020
Genius Teacher,Maharashtra,Education,2000000,2020
Krimanshi Feeds,Rajasthan,Agriculture and Food Production,500000,2020
Origo,Haryana,Information Technology (IT),4000000,2020
GetVantage,Maharashtra,Banking and Financial Services,5000000,2020
Betterplace,Karnataka,Information Technology (IT),10000000,2020
Biddano,Maharashtra,Healthcare and Fitness,600000,2020
InVideo,Maharashtra,Media and Entertainment,15000000,2020
Arzooo,Karnataka,Information Technology (IT),7500000,2020
Hubilo,California,Information Technology (IT),4500000,2020
BASIC Home Loan,Haryana,Banking and Financial Services,5000000,2020
Ketos,California,Information Technology (IT),18000000,2020
SUGAR cosmetics,Maharashtra,Fashion and Beauty,2000000,2020
Signzy,Karnataka,Banking and Financial Services,5400000,2020
Ahaguru,Tamil Nadu,Education,0,2020
Tekion,California,Information Technology (IT),150000000,2020
Brighteye Ventures,Paris,Education,5400000,2020
EzeRx,West Bengal,Healthcare and Fitness,200000,2020
VitalTech,Texas,Healthcare and Fitness,3000000,2020
Ultraviolette Automotive,Karnataka,Manufacturing,4000000,2020
Tring,Maharashtra,Media and Entertainment,0,2020
Rare Planet,West Bengal,E-Commerce and Retail,400000,2020
GoodGamer,Karnataka,Media and Entertainment,2500000,2020
InnAccel,Karnataka,Healthcare and Fitness,1500000,2020
Tiliter,Sydney,E-Commerce and Retail,7500000,2020
Slintel,California,E-Commerce and Retail,4200000,2020
SoOLEGAL,Delhi,"Career, Special Duties and Personal Development",4000000,2020
HobSpace,Maharashtra,Education,200000,2020
Supplynote,Uttar Pradesh,Information Technology (IT),500000,2020
Hire Me Car,Uttar Pradesh,Transportation and Tourism,0,2020
ShopUp,Bangaldesh,E-Commerce and Retail,22000000,2020
Harmonizer India,Karnataka,Information Technology (IT),0,2020
Zomato,Haryana,Agriculture and Food Production,52000000,2020
Dukaan,Maharashtra,Information Technology (IT),6000000,2020
CredR,Maharashtra,E-Commerce and Retail,2000000,2020
Satyukt,Karnataka,Information Technology (IT),500000,2020
RACEnergy,Telangana,Manufacturing,0,2020
TREAD,Karnataka,Healthcare and Fitness,1100000,2020
Anveshan,Karnataka,Agriculture and Food Production,100000,2020
TeaMonk,Karnataka,Agriculture and Food Production,900000,2020
Fleetx,Haryana,Information Technology (IT),3000000,2020
ReNEWate,Maharashtra,Real Estate,0,2020
Tango Eye,Tamil Nadu,Information Technology (IT),0,2020
Rare Planet,West Bengal,E-Commerce and Retail,0,2020
Avataa Me,Karnataka,Information Technology (IT),7000000,2020
Arrival,London,Manufacturing,118000000,2020
Cover Genius,Sydney,Banking and Financial Services,15000000,2020
Phononic Vibes,Milan,Information Technology (IT),2300000,2020
MikeLegal,Haryana,"Career, Special Duties and Personal Development",0,2020
Clair,New York,Banking and Financial Services,4500000,2020
Gourmet Garden,Palmwoods,E-Commerce and Retail,0,2020
Miko,Maharashtra,Information Technology (IT),3000000,2020
Razorpay,Karnataka,Banking and Financial Services,100000000,2020
Ninjacart,Karnataka,Agriculture and Food Production,30000000,2020
Wow! Momo,West Bengal,Agriculture and Food Production,5000000,2020
Pepper Content,Maharashtra,E-Commerce and Retail,4200000,2020
LIVSPACE,Karnataka,"Career, Special Duties and Personal Development",4000000,2020
Acculi Labs,Karnataka,Healthcare and Fitness,600000,2020
Your MD,London,Healthcare and Fitness,25000000,2020
Antaios,Paris,Information Technology (IT),11000000,2020
Unnati,Uttar Pradesh,Information Technology (IT),1700000,2020
Disprz,Tamil Nadu,Education,1600000,2020
Uni,Maharashtra,Banking and Financial Services,18500000,2020
Credit Wise Capital,Maharashtra,Banking and Financial Services,6000000,2020
Chargebee,California,Information Technology (IT),55000000,2020
Reliance Retail Ventures Ltd,Maharashtra,E-Commerce and Retail,70000000000,2020
Winuall,Karnataka,Education,2000000,2020
Genrobotics,Kerala,Information Technology (IT),300000,2020
Livve,Kerala,E-Commerce and Retail,1500000,2020
Ergos,Bihar,Information Technology (IT),5000000,2020
Krishitantra,Telangana,Information Technology (IT),1000000,2020
PakkaProfile,Karnataka,"Career, Special Duties and Personal Development",0,2020
Monet Networks,California,Information Technology (IT),500000,2020
Unocoin,Karnataka,Banking and Financial Services,0,2020
Pesto,Delhi,Education,0,2020
NirogStreet,Haryana,Healthcare and Fitness,2000000,2020
Bambrew,Karnataka,Manufacturing,0,2020
Omnify,California,Information Technology (IT),0,2020
Fanball XI,Delhi,Media and Entertainment,1000000,2020
Treebo Hotels,Karnataka,Events and Hospitality,6000000,2020
GPS Renewables,Karnataka,Information Technology (IT),3000000,2020
Public,Delhi,Media and Entertainment,30000000,2020
Legal Salah,West Bengal,"Career, Special Duties and Personal Development",1000000,2020
FanPlay,Delhi,Media and Entertainment,0,2020
ECOSTP,Karnataka,Water and Environment,19000000,2020
Coralogix,California,Information Technology (IT),25000000,2020
Equiwatt,Newcastle Upon Tyne,Information Technology (IT),300000,2020
Reliance Retail Ventures,Maharashtra,E-Commerce and Retail,800000000,2020
Zhangmen,Shanghai,Education,400000000,2020
AgroWave,Haryana,Information Technology (IT),500000,2020
Sapio Analytics,Maharashtra,Information Technology (IT),150000,2020
Taimei,Jiaxing,Healthcare and Fitness,176000000,2020
Avanse Financial Services,Maharashtra,Banking and Financial Services,15000000,2020
Industry Buying,Delhi,E-Commerce and Retail,15000000,2020
Hopscotch,Maharashtra,E-Commerce and Retail,25000000,2020
Pristyn Care,Haryana,Healthcare and Fitness,11000000,2020
WoodenStreet,Rajastan,"Career, Special Duties and Personal Development",1000000,2020
ACKO,Maharashtra,Banking and Financial Services,60000000,2020
Farmers Fresh Zone,Kerala,Information Technology (IT),470000,2020
Invento,Karnataka,Information Technology (IT),0,2020
Infurnia,Karnataka,Information Technology (IT),240000,2020
AnalytIQSports's SuperCric,Karnataka,Media and Entertainment,0,2020
Snowflake,California,Information Technology (IT),3000000000,2020
GenieTalk,Madhya Pradesh,Information Technology (IT),750000,2020
Classplus,Uttar Pradesh,Education,10000000,2020
Mobile Premier League,Karnataka,Media and Entertainment,74000000,2020
Fourth Partner Energy,Telangana,Energy,16000000,2020
Flipkart,Karnataka,E-Commerce and Retail,62000000,2020
Vivriti Capital,Tamil Nadu,Banking and Financial Services,1000000,2020
InsuranceDekho,Punjab,Banking and Financial Services,20000000,2020
BestDoc,Kerala,Healthcare and Fitness,2100000,2020
Byju’s,Karnataka,Education,500000000,2020
Melorra,Karnataka,Fashion and Beauty,12500000,2020
Reliance,Maharashtra,Multinational Conglomerate Company,2200000000,2020
Inflexor Ventures,Maharashtra,Banking and Financial Services,10000000,2020
Pandorum,Karnataka,Information Technology (IT),5060000,2020
SpeakIn,Uttar Pradesh,Media and Entertainment,0,2020
LetsUp,Maharashtra,Information Technology (IT),0,2020
Newsreach,Gujarat,Information Technology (IT),0,2020
Dream11,Maharashtra,Media and Entertainment,225000000,2020
SignalX,Telangana,Information Technology (IT),750000,2020
JetSynthesys,Maharashtra,Information Technology (IT),40000000,2020
Vesta Space Technology,Maharashtra,Information Technology (IT),10000000,2020
Dozee,Karnataka,Healthcare and Fitness,1600000,2020
Rebel Foods,Maharashtra,Agriculture and Food Production,50000000,2020
Nykaa,Maharashtra,Fashion and Beauty,24700000,2020
Ketto,Maharashtra,Banking and Financial Services,7700000,2020
Suryoday,Maharashtra,Banking and Financial Services,800000,2020
SucSEED,Telangana,Banking and Financial Services,1300000,2020
Unacademy,Karnataka,Education,150000000,2020
Strata,Karnataka,Real Estate,19067328,2020
3one4 Capital,Karnataka,Banking and Financial Services,100000000,2020
WE-Hub,Telangana,E-Commerce and Retail,0,2020
Zomato,Haryana,Agriculture and Food Production,62000000,2020
Vicara,Karnataka,Information Technology (IT),0,2020
Gaana,Haryana,Media and Entertainment,51000000,2020
